gene_symbol,Lcn2
pvalue,0.6634803
analysis_id,im17t6um647993l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_011_001
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:96757
