parameter_name,Liver weight
analysis_id,8d79a43b6x3b819
parameter_id,UCD_OWT_008_001
gene_symbol,Frmpd1
pvalue,0.7793724
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
