analysis_id,0v01c720951b2ir
pvalue,0.05936905
parameter_id,IMPC_ECH_008_001
mouse_strain,129SV
gene_symbol,Nipal3
parameter_name,LVIDd
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
