analysis_id,0k9l7i0q75pduan
gene_accession_id,MGI:1888742
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Extl1
parameter_id,MGP_IMM_079_001
mouse_life_stage,Early adult
pvalue,0.3592189
