analysis_id,8icju0sz743n39b
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Stk35
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
parameter_id,MGP_IMM_010_001
pvalue,0.07605272
