gene_symbol,Car13
parameter_id,IMPC_EYE_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
analysis_id,4wj867hnkgvlow9
mouse_strain,C57BL
pvalue,0.359211
parameter_name,Retinal Blood Vessels
