parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
analysis_id,1297t3se032119t
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
gene_symbol,Car13
gene_accession_id,MGI:1931322
pvalue,0.07945032
