parameter_name,Basophil differential count
gene_accession_id,MGI:2444113
analysis_id,i6460fr11x60534
pvalue,0.37603
mouse_strain,C57BL
gene_symbol,Nemp2
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
