analysis_id,o80z851ps2kjdon
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3261276
parameter_name,Tremor
gene_accession_id,MGI:88380
parameter_id,TCPLA_CSD_030_001
gene_symbol,F2
