parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
gene_symbol,Steap3
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.7765388
analysis_id,860y135aw9l8bl5
