parameter_name,Lean/Body weight
pvalue,0.6466942
gene_accession_id,MGI:2385156
analysis_id,mh4n01wda3g61ch
gene_symbol,Sdcbp2
parameter_id,ESLIM_005_001_702
mouse_life_stage,Early adult
mouse_strain,C57BL
