analysis_id,4xo9ae1s1gdcs95
mouse_strain,C57BL
pvalue,0.9024336
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_symbol,Secisbp2l
