analysis_id,20py9200pp5eh0e
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.830584
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
