gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,ESLIM_011_001_010
analysis_id,1s32617bo25p0y6
pvalue,0.8583956
mouse_life_stage,E12.5
parameter_name,PP4 + pulse startle magnitude
