pvalue,2.632684e-07
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,l601i154q229546
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
