analysis_id,17rh701t48l8gi6
gene_symbol,Trp53i11
parameter_id,JAX_LDT_008_001
pvalue,0.06682859
parameter_name,Percent time in dark
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
mouse_strain,C57BL
