gene_symbol,Nr0b2
parameter_name,Retina (combined)
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
analysis_id,dh41pdr6dgpxd3o
mouse_strain,B6J
pvalue,0.3033752
gene_accession_id,MGI:1346344
