gene_symbol,Maco1
parameter_name,Total protein
gene_accession_id,MGI:1913396
pvalue,0.1745329
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
analysis_id,875u68sc0onv6ww
mouse_strain,C57BL
