parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_IMM_067_001
pvalue,0.4656173
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
analysis_id,ox2w266w7951uxp
