gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,Spleen weight
pvalue,0.1082272
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
analysis_id,3co38hs28k9tw4q
