gene_symbol,Kdm4c
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1924054
parameter_name,Tremor
analysis_id,6io033w305912l1
mouse_life_stage,Early adult
pvalue,0.2627053
mouse_strain,C57BL
