analysis_id,e120164x0040q56
parameter_id,IMPC_ECH_001_001
gene_symbol,Lurap1
parameter_name,End-Systolic Diameter
pvalue,0.2740443
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
mouse_strain,C57BL
