gene_symbol,Sfpq
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
analysis_id,70u51mn8i6xj349
mouse_strain,C57BL
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
pvalue,0.4599766
