parameter_name,RR
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.4530114
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,2t644hoeb34hn73
parameter_id,IMPC_ECG_004_001
