parameter_name,White blood cell count
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zyg11b
pvalue,0.6606724
parameter_id,HMGULA_HEM_001_001
analysis_id,zs7956phv7adtk7
