analysis_id,gc4i49935nu33b6
parameter_id,MGP_IMM_071_001
gene_symbol,Slc30a4
pvalue,0.4572079
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1345282
