analysis_id,7tck92x0dxuladq
mouse_strain,C57BL
gene_symbol,Ntmt2
pvalue,0.3661869
gene_accession_id,MGI:2685053
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
