parameter_name,Total holepokes
gene_symbol,Steap3
parameter_id,JAXLA_HBD_001_001
pvalue,0.5810392
analysis_id,69u09mu0hvg07z6
gene_accession_id,MGI:1915678
mouse_strain,C57BL
mouse_life_stage,Early adult
