analysis_id,q642y27vwb5270x
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
pvalue,0.451501
mouse_strain,C57BL
parameter_name,Mean-cell-volume
gene_symbol,Bmi1
parameter_id,M-G-P_016_001_005
