parameter_name,Center distance travelled
mouse_life_stage,E12.5
analysis_id,43yjdje730z06a1
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.06156554
gene_symbol,Dmap1
