analysis_id,yi11la700d0q5ix
gene_symbol,SEMA6C
pvalue,0.4506281
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
