parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
pvalue,0.2814092
gene_accession_id,MGI:2181659
parameter_name,Skull shape
gene_symbol,Tox
mouse_life_stage,Early adult
analysis_id,dci99kq271np633
