parameter_name,Cornea
pvalue,0.173835
mouse_life_stage,Early adult
gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,8bl45hp6ajeu13o
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1915678
