analysis_id,2z6g274zs82b51j
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
gene_accession_id,MGI:88071
pvalue,0.5117589
gene_symbol,Arnt
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_007_001
