gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.7946307
analysis_id,nzwxwv7042exg2i
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
