analysis_id,15t934sv559e08c
gene_symbol,Morn5
parameter_id,HRWLLA_OFD_013_001
pvalue,0.8075037
parameter_name,Periphery average speed
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
mouse_strain,C57BL
