analysis_id,p7832pd840t476t
gene_accession_id,MGI:106100
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
pvalue,0.1704834
mouse_strain,C52BL
gene_symbol,Etfdh
mouse_life_stage,Early adult
