analysis_id,di11y7u43a302la
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_id,MGP_MLN_006_001
pvalue,0.4275253
mouse_strain,129SV
gene_symbol,Inpp1
