parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.265875
mouse_strain,C57BL
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
analysis_id,b9c5rttz8541v44
