gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
pvalue,0.5397466
parameter_name,Retina (combined)
analysis_id,730394g522n2v7g
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
