parameter_name,B2B Cells
analysis_id,y32te7f063h50k9
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.409755
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
