analysis_id,442qn5nwr6f914a
mouse_strain,C57BL
parameter_id,JAXLA_GRS_011_001
pvalue,0.3976574
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
