gene_symbol,Tnfsf10
parameter_id,MGP_MLN_067_001
analysis_id,2zg8r5q3p2r2i36
gene_accession_id,MGI:107414
pvalue,0.8593002
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
