gene_symbol,Morn5
gene_accession_id,MGI:1922745
mouse_strain,C57BL
analysis_id,zng0fe289b1en7p
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
pvalue,0.2001915
