gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
pvalue,0.1874244
analysis_id,x24i034t0wyz1c2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_BMI_014_001
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
