parameter_name,Head morphology
mouse_life_stage,Early adult
pvalue,0.1238728
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1927232
analysis_id,i710039u2cp2ekb
gene_symbol,Rab13
