analysis_id,8a8t7ak57623w83
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_life_stage,E9.5
mouse_strain,C54BL
pvalue,0.7603947
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
