analysis_id,3e2w17589ex26vy
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:95576
mouse_strain,C57BL
pvalue,0.3132855
gene_symbol,Fpgs
parameter_id,MGP_IMM_066_001
