parameter_id,UCD_OWT_003_001
analysis_id,z6287a5uz626176
gene_symbol,Dhdds
mouse_strain,C57BL
parameter_name,Spleen weight
pvalue,0.7858663
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
