parameter_name,Eye
parameter_id,IMPC_EYE_001_001
gene_symbol,Cds2
analysis_id,fq4z11bnl120bdf
pvalue,0.8514707
mouse_strain,C57BL
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
