parameter_name,Eye
analysis_id,9118l3r874709u9
parameter_id,IMPC_EYE_001_001
gene_symbol,Abo
gene_accession_id,MGI:2135738
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8519748
