parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
analysis_id,41vw9w8m8ek2l7x
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Mapkap1
pvalue,0.7067284
