analysis_id,371318w7h46j758
mouse_strain,C57BL
pvalue,0.5254853
parameter_name,Skull shape
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_id,CCP_XRY_001_001
gene_symbol,Cdin1
