parameter_id,JAX_OFD_007_001
gene_accession_id,MGI:3616086
analysis_id,f47gajo32szye35
parameter_name,Whole arena resting time
gene_symbol,Kcng1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5595501
