parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
analysis_id,21byarz6ggo5390
parameter_name,Cleft palate
gene_symbol,Etfdh
pvalue,0.7463222
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
