parameter_id,MGP_IMM_079_001
analysis_id,224oxo42w78md5d
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.3885373
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
