parameter_id,IMPC_HEM_005_001
mouse_strain,C57BL
gene_accession_id,MGI:1888742
gene_symbol,Extl1
parameter_name,Mean cell volume
analysis_id,ebp04383067dsfu
pvalue,0.9551267
mouse_life_stage,Early adult
