parameter_id,JAXLA_CBC_015_001
pvalue,0.7441773
gene_symbol,Bcs1l
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,j814871x6irv6ow
gene_accession_id,MGI:1914071
parameter_name,Total cholesterol
