analysis_id,v6bor63o6i9i3w1
gene_accession_id,MGI:2385884
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
gene_symbol,Ddx27
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.3501041
