analysis_id,365v28p61u2jn51
mouse_strain,C57BL
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
pvalue,0.09283566
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
gene_symbol,Ncaph
