analysis_id,21bbwnq05fh8n4g
gene_accession_id,MGI:95457
pvalue,0.1030022
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
gene_symbol,Mecom
