analysis_id,5ro52d78e4lf8e6
mouse_strain,C57BL
pvalue,0.7773428
parameter_id,HMGULA_CBC_017_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_name,Triglycerides
gene_accession_id,MGI:1924054
