gene_symbol,Wars2
parameter_id,JAX_LDT_004_001
analysis_id,o1849qki77rhl81
parameter_name,Dark side time spent
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5645788
gene_accession_id,MGI:1917810
