parameter_name,Click-evoked ABR threshold
gene_symbol,Ola1
analysis_id,28laa97g31a9az3
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
mouse_life_stage,E18.5
pvalue,0.2706561
gene_accession_id,MGI:1914309
